submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s202579679,p03511,u970690920,1600209583,C++,C++ (GCC 9.2.1),cpp,Accepted,485.0,3956.0,1326,
s583236991,p03511,u319282133,1591838670,C++,C++14 (GCC 5.4.1),cpp,Accepted,6.0,1684.0,1134,
s980433205,p03511,u657913472,1587854753,C++,C++14 (GCC 5.4.1),cpp,Accepted,18.0,1544.0,314,
s334585895,p03511,u657913472,1587854462,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,728,
s360774045,p03511,u591914971,1586566373,C++,C++14 (GCC 5.4.1),cpp,Accepted,5.0,1940.0,8560,
s935856441,p03511,u591914971,1586565487,C++,C++14 (GCC 5.4.1),cpp,Accepted,4.0,1932.0,8331,
s356704905,p03511,u468700753,1585194622,C++,C++14 (GCC 5.4.1),cpp,Accepted,9.0,1232.0,1472,
s528221259,p03511,u640323045,1583486035,C++,C++14 (GCC 5.4.1),cpp,Accepted,15.0,1800.0,1511,
s149451365,p03511,u817760251,1580678665,C++,C++14 (GCC 5.4.1),cpp,Accepted,7.0,1232.0,841,
s841270989,p03511,u041115493,1580662645,C++,C++ (GCC 5.4.1),cpp,Accepted,5.0,1280.0,800,
s383886467,p03511,u648138491,1580428835,C++,C++14 (GCC 5.4.1),cpp,Accepted,4.0,1408.0,3232,
s864381523,p03511,u619819312,1579563181,Python,Python (3.4.3),py,Accepted,20.0,4084.0,294,
s721162075,p03511,u045643130,1576983839,C++,C++14 (GCC 5.4.1),cpp,Accepted,7.0,1596.0,987,
s768583812,p03511,u045643130,1576983742,C++,C++14 (GCC 5.4.1),cpp,Accepted,8.0,1852.0,988,
s017353879,p03511,u111121874,1576216974,C++,C++14 (GCC 5.4.1),cpp,Accepted,8.0,1232.0,921,
s185389112,p03511,u102461423,1574541788,Python,Python (3.4.3),py,Accepted,79.0,6556.0,636,
s172093646,p03511,u766830501,1565155901,C++,C++14 (GCC 5.4.1),cpp,Accepted,7.0,1684.0,4928,
s475779090,p03511,u449722246,1563293839,C++,C++14 (GCC 5.4.1),cpp,Accepted,15.0,2952.0,870,
s423547159,p03511,u297574184,1558579855,Python,Python (3.4.3),py,Accepted,54.0,4400.0,282,
s399104109,p03511,u274812479,1557778562,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1408.0,4013,
s337650101,p03511,u274812479,1557773497,C++,C++14 (GCC 5.4.1),cpp,Accepted,17.0,2060.0,4006,
s058053552,p03511,u533920479,1553169993,C++,C++14 (GCC 5.4.1),cpp,Accepted,10.0,1744.0,856,
s760564491,p03511,u110383845,1552268758,C++,C++14 (GCC 5.4.1),cpp,Accepted,5.0,1940.0,3680,
s581358694,p03511,u434231045,1552266122,C++,C++14 (GCC 5.4.1),cpp,Accepted,6.0,1428.0,2367,
s993580775,p03511,u024809932,1547659610,C++,C++14 (GCC 5.4.1),cpp,Accepted,15.0,1544.0,438,
s450400468,p03511,u025222195,1545640699,C++,C++14 (GCC 5.4.1),cpp,Accepted,5.0,1684.0,4771,
s358934701,p03511,u417094357,1542460518,C++,C++14 (GCC 5.4.1),cpp,Accepted,25.0,7948.0,2144,
s749308570,p03511,u197964611,1536712099,C++,C++14 (GCC 5.4.1),cpp,Accepted,16.0,1792.0,1434,
s228550523,p03511,u536081558,1530057034,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,406,
s397431837,p03511,u494610174,1521070241,Python,Python (3.4.3),py,Accepted,172.0,4212.0,1355,
s399680424,p03511,u976162616,1521069301,C++,C++14 (GCC 5.4.1),cpp,Accepted,16.0,1408.0,2100,
s076389190,p03511,u687214625,1519846931,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1220.0,882,
s847407051,p03511,u831929072,1519828505,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,1362,
s597113949,p03511,u848983424,1519261256,C++,C++14 (GCC 5.4.1),cpp,Accepted,11.0,2672.0,1301,
s485905224,p03511,u692886043,1517642566,C++,C++14 (GCC 5.4.1),cpp,Accepted,22.0,1024.0,1520,
s276835345,p03511,u438587975,1517593297,C++,C++14 (Clang 3.8.0),cpp,Accepted,20.0,1660.0,2254,
s680166204,p03511,u205655980,1517011126,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,472,
s591691138,p03511,u119460590,1516686500,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,1381,
s340666907,p03511,u339061247,1515271987,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,1599,
s790339229,p03511,u340781749,1514627959,Python,Python (3.4.3),py,Accepted,19.0,4784.0,748,
s446387766,p03511,u435612902,1514362177,C++,C++14 (GCC 5.4.1),cpp,Accepted,7.0,1684.0,3044,
s152399744,p03511,u989289964,1514343390,C++,C++14 (GCC 5.4.1),cpp,Accepted,16.0,1476.0,855,
s588549738,p03511,u583919352,1514343205,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1408.0,572,
s849364892,p03511,u272028993,1514152628,C++,C++14 (GCC 5.4.1),cpp,Accepted,9.0,1556.0,2541,
s501398223,p03511,u238052980,1513876277,C++,C++14 (GCC 5.4.1),cpp,Accepted,15.0,2816.0,1763,
s913905928,p03511,u014125471,1513727953,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,1008,
s910871286,p03511,u014125471,1513727868,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1544.0,1144,
s559870777,p03511,u509674552,1513500975,C++,C++14 (GCC 5.4.1),cpp,Accepted,7.0,1684.0,1580,
s736506426,p03511,u917944707,1513303695,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1212.0,918,
s686886756,p03511,u180031049,1513282177,C++,C++14 (GCC 5.4.1),cpp,Accepted,7.0,1684.0,662,
s694326047,p03511,u180031049,1513282114,C++,C++14 (GCC 5.4.1),cpp,Accepted,22.0,4348.0,756,
s123614066,p03511,u703347154,1512980729,C++,C++14 (GCC 5.4.1),cpp,Accepted,52.0,44436.0,1002,
s339051757,p03511,u618643021,1512820297,C++,C++14 (GCC 5.4.1),cpp,Accepted,15.0,1544.0,413,
s375676357,p03511,u450494974,1512591154,C++,C++14 (GCC 5.4.1),cpp,Accepted,14.0,1408.0,746,
