submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s121686228,p02221,u514597327,1590507187,C++,C++14,cpp,Accepted,180,23176,1974,43/43
s800690515,p02221,u697145890,1588167538,C++,C++,cpp,Accepted,130,43476,924,43/43
s821077042,p02221,u467842505,1587007164,C++,C++14,cpp,Accepted,310,6300,1199,43/43
s179280925,p02221,u503217379,1586883771,C++,C++14,cpp,Accepted,100,24944,1054,43/43
s611282038,p02221,u566573163,1584876926,C++,C++14,cpp,Accepted,1240,43584,2741,43/43
s983646980,p02221,u130799772,1584784986,C++,C++14,cpp,Accepted,150,46492,1245,43/43
s511348548,p02221,u677480381,1584775327,C++,C++14,cpp,Accepted,180,23096,1326,43/43
s891281890,p02221,u045371806,1584726488,C++,C++14,cpp,Accepted,120,46452,4918,43/43
s188923523,p02221,u705024074,1584721658,C++,C++14,cpp,Accepted,140,23792,5290,43/43
s017504091,p02221,u855989123,1584713604,C++,C++14,cpp,Accepted,280,23828,7167,43/43
s275064483,p02221,u483930210,1584709506,C++,C++14,cpp,Accepted,170,44396,1354,43/43
s900351426,p02221,u102030241,1584706723,C++,C++14,cpp,Accepted,340,6308,1001,43/43
s955870613,p02221,u800056514,1584706577,C++,C++14,cpp,Accepted,430,23824,438,43/43
s924590071,p02221,u601781898,1584705597,C++,C++14,cpp,Accepted,110,22924,937,43/43
s335663017,p02221,u176732165,1584695539,C++,C++14,cpp,Accepted,310,85312,1891,43/43
s245415176,p02221,u224204259,1584694227,C++,C++14,cpp,Accepted,320,5264,2144,43/43
s899789097,p02221,u020469367,1584693420,C++,C++,cpp,Accepted,150,44408,1211,43/43
s737359985,p02221,u144488338,1584692164,C++,C++14,cpp,Accepted,70,6236,2451,43/43
s214454250,p02221,u849202003,1584691700,C++,C++14,cpp,Accepted,340,25012,1664,43/43
s357130095,p02221,u700175330,1584691625,C++,C++,cpp,Accepted,350,23780,711,43/43
s183576201,p02221,u472406395,1584691409,C++,C++14,cpp,Accepted,160,24924,737,43/43
s048252619,p02221,u189282829,1584691056,C++,C++14,cpp,Accepted,540,52740,1409,43/43
s708625539,p02221,u240585132,1584690826,C++,C++14,cpp,Accepted,190,46248,1629,43/43
s902085258,p02221,u928677049,1584690818,C++,C++14,cpp,Accepted,770,192712,1954,43/43
s581763417,p02221,u114486177,1584690695,C++,C++14,cpp,Accepted,80,43456,2082,43/43
s177061197,p02221,u976670685,1584690483,C++,C++14,cpp,Accepted,350,46376,1072,43/43
s335877284,p02221,u496850510,1584690085,C++,C++14,cpp,Accepted,430,68672,2595,43/43
s535468239,p02221,u853368835,1584689954,C++,C++14,cpp,Accepted,100,46444,2849,43/43
s457143393,p02221,u805761451,1584689833,C++,C++14,cpp,Accepted,340,9464,1359,43/43
s266037701,p02221,u057881778,1584689156,C++,C++14,cpp,Accepted,140,23932,2302,43/43
s716889715,p02221,u923014084,1584688945,C++,C++14,cpp,Accepted,250,243124,2632,43/43
s153665219,p02221,u629590130,1584688576,C++,C++14,cpp,Accepted,370,49488,1586,43/43
s376644095,p02221,u482694765,1584688568,C++,C++14,cpp,Accepted,370,48612,1184,43/43
s521898496,p02221,u282562729,1584688485,C++,C++14,cpp,Accepted,370,28492,4664,43/43
s612956339,p02221,u687460718,1584688465,C++,C++14,cpp,Accepted,180,9444,2300,43/43
s061814136,p02221,u991333487,1584687793,C++,C++14,cpp,Accepted,600,34880,2182,43/43
s127049319,p02221,u393475075,1584687761,C++,C++11,cpp,Accepted,100,43376,1095,43/43
