submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s413041074,p00969,u527286045,1545236579,C++,C++14,cpp,Accepted,210,125876,686,66/66
s114809812,p00969,u328393566,1545237830,C++,C++14,cpp,Accepted,600,47764,779,66/66
s364442171,p00969,u880042992,1545253198,C++,C++14,cpp,Accepted,1340,84932,1023,66/66
s320906665,p00969,u924665348,1545732022,C++,C++11,cpp,Accepted,370,202688,846,66/66
s541149280,p00969,u371117561,1551496679,C++,C++14,cpp,Accepted,3920,3188,5700,66/66
s127485223,p00969,u654619223,1580801969,C++,C++14,cpp,Accepted,3160,3504,815,66/66
s046563654,p00969,u009961299,1574588817,C++,C++,cpp,Accepted,2020,2796,938,66/66
s105552324,p00969,u697393816,1573914925,C++,C++14,cpp,Accepted,1180,101080,707,66/66
s338510615,p00969,u998437062,1573654180,C++,C++14,cpp,Accepted,2350,6592,665,66/66
s289152044,p00969,u548359602,1573572147,C++,C++14,cpp,Accepted,700,27460,773,66/66
s598566188,p00969,u606639970,1573561350,C++,C++14,cpp,Accepted,690,101424,1347,66/66
s109902775,p00969,u343824042,1573464596,C++,C++14,cpp,Accepted,1930,100564,1140,66/66
s867421295,p00969,u150984829,1573374543,C++,C++14,cpp,Accepted,310,6312,781,66/66
s408597680,p00969,u619300234,1572866867,C++,C++14,cpp,Accepted,120,69964,688,66/66
s324176924,p00969,u379956761,1572765251,C++,C++14,cpp,Accepted,580,3172,2166,66/66
s428187963,p00969,u743972332,1572243873,C++,C++14,cpp,Accepted,650,101096,5348,66/66
s901373334,p00969,u734013094,1571624151,C++,C++14,cpp,Accepted,530,3504,1780,66/66
s702463596,p00969,u546189534,1571295681,C++,C++14,cpp,Accepted,530,70180,628,66/66
s941018172,p00969,u911041619,1570175475,C++,C++,cpp,Accepted,310,69888,944,66/66
s491898760,p00969,u238075136,1569168491,C++,C++14,cpp,Accepted,560,47796,1684,66/66
s108652428,p00969,u514325288,1568368646,C++,C++11,cpp,Accepted,980,136700,3409,66/66
s280208908,p00969,u807760908,1567000814,C++,C++14,cpp,Accepted,470,27508,1478,66/66
s668914765,p00969,u137027976,1566502443,C++,C++,cpp,Accepted,3030,113156,1244,66/66
s264549634,p00969,u050496955,1566478959,C++,C++14,cpp,Accepted,620,115868,769,66/66
s499828613,p00969,u227760433,1565458177,C++,C++14,cpp,Accepted,150,120812,724,66/66
s398212369,p00969,u438263800,1565011080,C++,C++14,cpp,Accepted,1050,101084,802,66/66
s117346880,p00969,u400567182,1564700598,C++,C++14,cpp,Accepted,4760,3480,4991,66/66
s693238103,p00969,u626665035,1563021628,C++,C++14,cpp,Accepted,570,47796,716,66/66
s455827514,p00969,u781622789,1559748254,C++,C++14,cpp,Accepted,360,100896,1051,66/66
s220097043,p00969,u578258337,1555505721,C++,C++11,cpp,Accepted,610,70176,846,66/66
s344061301,p00969,u700120734,1551058682,C++,C++14,cpp,Accepted,150,199332,1438,66/66
s672549871,p00969,u514597327,1550541624,C++,C++11,cpp,Accepted,1040,4720,1329,66/66
s372034449,p00969,u511880602,1549379301,C++,C++14,cpp,Accepted,500,101080,1328,66/66
s578553011,p00969,u205938947,1549378003,C++,C++14,cpp,Accepted,630,3172,1146,66/66
s302718937,p00969,u135065901,1549369218,C++,C++14,cpp,Accepted,470,198512,1016,66/66
s097636565,p00969,u671297350,1546868269,C++,C++14,cpp,Accepted,1850,3224,4252,66/66
s810037109,p00969,u697145890,1545169651,C++,C++,cpp,Accepted,80,101052,973,66/66
s985210216,p00969,u133262182,1545121817,C++,C++14,cpp,Accepted,1420,27256,1519,66/66
s348927001,p00969,u291204865,1544802090,C++,C++,cpp,Accepted,3770,3316,572,66/66
s029929058,p00969,u608725998,1544681788,C++,C++14,cpp,Accepted,630,198760,594,66/66
s345074912,p00969,u580482263,1544611699,C++,C++11,cpp,Accepted,330,92116,1064,66/66
s287483452,p00969,u937334944,1544590435,C++,C++14,cpp,Accepted,180,198892,1276,66/66
s200168336,p00969,u580482263,1544533776,C++,C++14,cpp,Accepted,330,92132,788,66/66
s529256109,p00969,u186082958,1544519482,C++,C++14,cpp,Accepted,420,69920,846,66/66
s520291617,p00969,u458173932,1544468837,C++,C++14,cpp,Accepted,1400,103052,788,66/66
s486623169,p00969,u773916782,1544452345,C++,C++,cpp,Accepted,4530,3120,441,66/66
s810907985,p00969,u962041986,1544399616,C++,C++14,cpp,Accepted,330,70156,526,66/66
s596985555,p00969,u962041986,1544399536,C++,C++,cpp,Accepted,600,70188,516,66/66
s009027000,p00969,u095377734,1544365375,C++,C++14,cpp,Accepted,1000,27408,720,66/66
s580715803,p00969,u300645821,1544364235,C++,C++,cpp,Accepted,4670,3144,412,66/66
s398413531,p00969,u835414158,1544363973,C++,C++14,cpp,Accepted,240,214088,12490,66/66
s475832751,p00969,u520560663,1544363004,C++,C++14,cpp,Accepted,220,23164,860,66/66
s666890961,p00969,u155634813,1544362895,C++,C++14,cpp,Accepted,410,26884,812,66/66
s838592740,p00969,u958052606,1544338428,C++,C++,cpp,Accepted,150,198768,1011,66/66
s357574690,p00969,u963561021,1544338383,C++,C++14,cpp,Accepted,560,3420,1240,66/66
s207265068,p00969,u781433064,1544333728,C++,C++11,cpp,Accepted,330,101276,845,66/66
s908125934,p00969,u281836941,1544332678,C++,C++14,cpp,Accepted,3890,3152,683,66/66
s117947750,p00969,u271023044,1544331576,C++,C++14,cpp,Accepted,760,100804,991,66/66
s830820690,p00969,u586305981,1544329054,C++,C++11,cpp,Accepted,1170,199064,2420,66/66
s321149791,p00969,u035732413,1544327483,C++,C++14,cpp,Accepted,930,3384,722,66/66
s630076627,p00969,u280013818,1544325030,C++,C++14,cpp,Accepted,920,162340,4156,66/66
s084667486,p00969,u114486177,1544324056,C++,C++14,cpp,Accepted,540,70248,1805,66/66
s745940615,p00969,u356488067,1544323926,C++,C++14,cpp,Accepted,140,100828,1027,66/66
s716570764,p00969,u670914305,1544322887,C++,C++14,cpp,Accepted,1390,3404,471,66/66
s087051548,p00969,u622781218,1544322754,C++,C++,cpp,Accepted,4720,3424,991,66/66
s689363750,p00969,u841011175,1544321297,C++,C++14,cpp,Accepted,640,198752,595,66/66
s703014878,p00969,u519311482,1544320811,C++,C++14,cpp,Accepted,570,47552,3836,66/66
s578166451,p00969,u822298456,1544320172,C++,C++14,cpp,Accepted,840,6316,819,66/66
s808565983,p00969,u505990483,1544319263,C++,C++11,cpp,Accepted,390,6312,756,66/66
s868097206,p00969,u343093491,1544318911,C++,C++14,cpp,Accepted,850,27180,1520,66/66
s755352221,p00969,u244636821,1573689331,Python,Python3,py,Accepted,6970,202060,1139,66/66
