submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s876711318,p02704,u757626242,1600279449,C++,C++ (GCC 9.2.1),cpp,Accepted,92.0,9736.0,6365,
s756788997,p02704,u757626242,1600279057,C++,C++ (GCC 9.2.1),cpp,Accepted,91.0,9736.0,6365,
s359630019,p02704,u757626242,1600279004,C++,C++ (GCC 9.2.1),cpp,Accepted,93.0,9720.0,6366,
s283664134,p02704,u274463010,1599238334,C++,C++ (GCC 9.2.1),cpp,Accepted,79.0,8624.0,2110,
s783816441,p02704,u151855078,1599098954,C++,C++ (GCC 9.2.1),cpp,Accepted,114.0,8736.0,4608,
s546902620,p02704,u898651494,1598941669,C++,C++ (GCC 9.2.1),cpp,Accepted,144.0,7772.0,7112,
s463248308,p02704,u467736898,1598708036,Python,Python (3.8.2),py,Accepted,281.0,42936.0,5138,
s969161205,p02704,u828766688,1598641305,Python,PyPy3 (7.3.0),py,Accepted,760.0,196528.0,4255,
s013381959,p02704,u979163294,1598123684,C++,C++ (GCC 9.2.1),cpp,Accepted,135.0,8228.0,3211,
s881648270,p02704,u107292917,1597678960,C++,C++ (GCC 9.2.1),cpp,Accepted,153.0,7768.0,5080,
s406864576,p02704,u116774833,1597647751,C++,C++ (GCC 9.2.1),cpp,Accepted,632.0,78288.0,6898,
s688779893,p02704,u673211643,1597351307,C++,C++ (GCC 9.2.1),cpp,Accepted,123.0,7912.0,3889,
s940717305,p02704,u170199544,1597207117,C++,C++ (GCC 9.2.1),cpp,Accepted,281.0,8900.0,2867,
s678222734,p02704,u170199544,1597206826,C++,C++ (GCC 9.2.1),cpp,Accepted,937.0,8900.0,2828,
s654400075,p02704,u170199544,1597206199,C++,C++ (GCC 9.2.1),cpp,Accepted,1029.0,69876.0,2752,
s230886701,p02704,u614550445,1595910169,C++,C++ (GCC 9.2.1),cpp,Accepted,164.0,7848.0,5713,
s651558810,p02704,u004411048,1595900950,C++,C++ (GCC 9.2.1),cpp,Accepted,202.0,7768.0,4420,
s339123890,p02704,u091367113,1595604700,C++,C++ (GCC 9.2.1),cpp,Accepted,85.0,7696.0,2840,
s353834801,p02704,u529297002,1595367818,C++,C++ (GCC 9.2.1),cpp,Accepted,285.0,72788.0,4566,
s720189755,p02704,u180716041,1595019130,C++,C++ (GCC 9.2.1),cpp,Accepted,186.0,8608.0,4556,
s264368601,p02704,u493130708,1594962784,Python,Python (3.8.2),py,Accepted,951.0,37348.0,2034,
s274103153,p02704,u299626104,1594621819,C++,C++ (GCC 9.2.1),cpp,Accepted,126.0,8508.0,2960,
s226683047,p02704,u592290074,1594573588,C++,C++ (GCC 9.2.1),cpp,Accepted,134.0,10224.0,4259,
s345340911,p02704,u712993629,1594288267,C++,C++ (GCC 9.2.1),cpp,Accepted,151.0,7816.0,6190,
s117164179,p02704,u873047541,1594203875,C++,C++ (GCC 9.2.1),cpp,Accepted,85.0,8000.0,4219,
s117428410,p02704,u596276291,1594094947,C++,C++ (GCC 9.2.1),cpp,Accepted,217.0,7788.0,10521,
s912365037,p02704,u820262277,1593923419,C++,C++ (GCC 9.2.1),cpp,Accepted,281.0,7612.0,10564,
s312257812,p02704,u879436400,1593796446,C++,C++ (GCC 9.2.1),cpp,Accepted,121.0,70508.0,3506,
s511898381,p02704,u929618357,1593713813,C++,C++ (GCC 9.2.1),cpp,Accepted,268.0,9332.0,2596,
s242452906,p02704,u521272340,1593604190,C++,C++ (GCC 9.2.1),cpp,Accepted,263.0,7800.0,10870,
s968332538,p02704,u521272340,1593597009,C++,C++ (GCC 9.2.1),cpp,Accepted,243.0,7804.0,11300,
s981024588,p02704,u521272340,1593593221,C++,C++ (GCC 9.2.1),cpp,Accepted,196.0,7720.0,12721,
s031857641,p02704,u874947858,1593570555,C++,C++ (GCC 9.2.1),cpp,Accepted,125.0,7808.0,5626,
s863510880,p02704,u880862257,1593480321,C++,C++ (GCC 9.2.1),cpp,Accepted,83.0,11588.0,4713,
s037077473,p02704,u131020584,1593403129,C++,C++ (GCC 9.2.1),cpp,Accepted,846.0,15852.0,5607,
s519973849,p02704,u859396346,1593336887,C++,C++ (GCC 9.2.1),cpp,Accepted,208.0,7776.0,5714,
s851145262,p02704,u170199544,1593222184,C++,C++ (GCC 9.2.1),cpp,Accepted,270.0,8600.0,2667,
s496693178,p02704,u536580583,1593208232,C++,C++ (GCC 9.2.1),cpp,Accepted,757.0,16596.0,3762,
s035583005,p02704,u453396567,1593140021,C++,C++ (GCC 9.2.1),cpp,Accepted,207.0,135728.0,3723,
s230435734,p02704,u835523614,1592700548,C++,C++ (GCC 9.2.1),cpp,Accepted,401.0,9372.0,1734,
s145188151,p02704,u993619636,1592680048,C++,C++ (GCC 9.2.1),cpp,Accepted,806.0,7748.0,3730,
s767437724,p02704,u756088996,1592445858,C++,C++ (GCC 9.2.1),cpp,Accepted,107.0,7780.0,5355,
s349058190,p02704,u275786410,1592442482,C++,C++ (GCC 9.2.1),cpp,Accepted,118.0,8856.0,8011,
s059274442,p02704,u928536113,1592423657,C++,C++ (GCC 9.2.1),cpp,Accepted,52.0,7744.0,3685,
s138129040,p02704,u111473084,1592234401,Python,Python (3.8.2),py,Accepted,354.0,23088.0,2534,
s013240476,p02704,u839397805,1592065341,C++,C++ (GCC 9.2.1),cpp,Accepted,153.0,7648.0,8819,
s434942910,p02704,u136509923,1591861825,C++,C++ (GCC 9.2.1),cpp,Accepted,116.0,8508.0,5409,
s148528632,p02704,u484902431,1591853359,C++,C++ (GCC 9.2.1),cpp,Accepted,253.0,149712.0,5646,
s362754332,p02704,u504103417,1591558524,C++,C++ (GCC 9.2.1),cpp,Accepted,169.0,8608.0,5905,
s018336077,p02704,u504103417,1591557149,C++,C++ (GCC 9.2.1),cpp,Accepted,179.0,8644.0,5905,
s368584084,p02704,u000022466,1591524086,C++,C++ (GCC 9.2.1),cpp,Accepted,299.0,9448.0,3113,
s611081554,p02704,u722777218,1591310334,C++,C++ (GCC 9.2.1),cpp,Accepted,207.0,8412.0,2985,
s516072564,p02704,u527311983,1591162422,C++,C++ (GCC 9.2.1),cpp,Accepted,279.0,71960.0,6211,
s786929300,p02704,u527311983,1591154724,C++,C++ (GCC 9.2.1),cpp,Accepted,298.0,71920.0,6748,
s675142296,p02704,u337802798,1591107801,C++,C++ (GCC 9.2.1),cpp,Accepted,1485.0,75996.0,9505,
s951184293,p02704,u270736803,1591078992,C++,C++ (GCC 9.2.1),cpp,Accepted,110.0,9444.0,4147,
s992847016,p02704,u694731294,1590959908,C++,C++ (GCC 9.2.1),cpp,Accepted,349.0,7676.0,3357,
s884459140,p02704,u377907412,1590534097,C++,C++ (GCC 9.2.1),cpp,Accepted,143.0,7660.0,7371,
s918501207,p02704,u227082700,1590450136,Python,PyPy3 (7.3.0),py,Accepted,1612.0,99500.0,672,
s913667380,p02704,u227082700,1590448222,Python,PyPy3 (7.3.0),py,Accepted,1592.0,99724.0,676,
s266920479,p02704,u505122009,1590170583,C++,C++ (GCC 9.2.1),cpp,Accepted,185.0,8460.0,3541,
s016710147,p02704,u168578024,1590103096,C++,C++ (GCC 9.2.1),cpp,Accepted,436.0,69892.0,7278,
s572912651,p02704,u465638326,1589952644,C++,C++ (GCC 9.2.1),cpp,Accepted,93.0,9596.0,4356,
